year,title,url,sha256,path
1932,1932,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1932.pdf,522cfda6b0ab1582b80be0d0e67632b43dee2c725c35797bf253010abdd3bcc0,data/raw/saus_1932.pdf
1933,1933,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1933.pdf,0d86760faeec9215ca34ff1aa2e40711f4218895c04569229202dc7f9853c17c,data/raw/saus_1933.pdf
1934,1934,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1934.pdf,dba3c51009cd6a332d9812941e817e6a222b6226b39d22fb4c38cb6030c81780,data/raw/saus_1934.pdf
1935,1935,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1935.pdf,682503a99280c30d9d06ac1114dbfd8f6cd3d6a2e8ffeba15d475ca04d9e99fd,data/raw/saus_1935.pdf
1936,1936,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1936.pdf,cf15089dc2e97d77c04bbd2327d58f5fbb1a9ddb6f5629df5cf208de5047550a,data/raw/saus_1936.pdf
1937,1937,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1937.pdf,1ff8c7878b4a9d7c18b67770391e58a0886048930a71a41dde6bfec15fc1e764,data/raw/saus_1937.pdf
1938,1938,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1938.pdf,103c9c518d62089bbeea5cb9f96916337d6e1d9a06ef18933b8bed01d7a66b1c,data/raw/saus_1938.pdf
1939,1939,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1939.pdf,cb08769714d4c7025ec5dfd95c59a1868cf6b1da390a7b2a1ac59eb8a84862bb,data/raw/saus_1939.pdf
1940,1940,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1940.pdf,5db556a771aaa51212bce9e074330c42a93ea56567058f47c0d1314964d4d748,data/raw/saus_1940.pdf
1941,1941,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1941.pdf,0cda94ca67963b14a2dcaa18eb8376f4c4699ec82f52f431c3f83d2d3f69428a,data/raw/saus_1941.pdf
1942,1942,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1942.pdf,5d862dcbf8b3cf5fd3ce5507cbf4c362debbd33b407e7aae3cc916cdbbedc18a,data/raw/saus_1942.pdf
1943,1943,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1943.pdf,f007dd993daf8719d748c9d602bbf97949f796b0275406be01ea127f9cefff46,data/raw/saus_1943.pdf
1946,1946,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1946.pdf,ab2457ca97ce1936a1cafa4fa975a774ba2c59c93fc8773f0be2e1e9efa58092,data/raw/saus_1946.pdf
1947,1947,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1947.pdf,b83bfc1d2b7629bb5a4b099215eeb2aa0f168c0871d2d5f787b5b30afc140ef6,data/raw/saus_1947.pdf
1948,1948,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1948.pdf,3c36b82843442a2b91dee0cec4ddc80c3e68f48d604993a0a9bd148724adf9bb,data/raw/saus_1948.pdf
1949,1949,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1949.pdf,6150c69436d6b817c24f5913431d278eaff82a0f5e33d68a9c349b2c20b4f478,data/raw/saus_1949.pdf
1950,1950,https://fraser.stlouisfed.org/docs/publications/stat_abstract/sa_1950.pdf,a5b503b83b4c300cfc46df9c6ab1ac613efa0875ac302014ecfd05184227af73,data/raw/saus_1950.pdf
